Address,Price,Zip Code,SqFt,Beds,Baths,Est,Lat,Long,Region
5923 Gran Quivira Rd NW,225000,87120,2000,4,3,233030,35.110176,-106.707291,NW
6923 Rustler Rd NW,199900,87120,1660,3,3,237152,35.162823,-106.707596,NW
1401 Desert Bloom Ct NW,200000,87120,1603,3,2,203885,35.101776,-106.717499,NW
10727 Gentry Ln SW,163000,87121,1740,4,3,173647,35.030106,-106.749931,SW
10136 Cartagena Ave SW,196900,87121,2697,5,4,208053,35.044018,-106.744682,SW
8516 Trotter Rd SW,137500,87121,1168,3,2,145955,35.038925,-106.730118,SW
414 Viking Dr SW,134900,87121,1680,3,2,146004,35.069328,-106.733902,SW
2920 Pauza Dr SW,205900,87121,1552,3,2,175407,35.03378,-106.71387,SW
608 Avanti St SW,184000,87121,1495,3,3,182960,35.062496,-106.739059,SW
9708 Datura Trl NE,899000,87122,4682,5,4,950317,35.17592,-106.53229,NE
8420 Desert Sunrise Rd NE,300000,87122,1897,3,3,310299,35.188148,-106.549652,NE
12301 Pino Ave NE,575000,87122,2978,3,3,529260,35.168606,-106.501747,NE
11804 Zinfandel Ave NE,1795000,87122,7116,4,6,NA,35.15841,-106.50586,NE
11405 Signal Ave NE,799000,87122,5489,5,6,850634,35.183212,-106.512054,NE
11805 Signal Ave NE,445000,87122,2940,4,3,528749,35.183079,-106.507721,NE
605 Running Water Cir SE,385000,87123,2948,3,4,389772,35.054218,-106.502182,SE
713 Burma Dr NE,169900,87123,1370,3,2,179899,35.082176,-106.510468,NE
825 Marcella St NE,165000,87123,1374,3,2,177203,35.085873,-106.522339,NE
220 Serenity Hills Pl SE,239500,87123,1550,3,2,232561,35.064232,-106.488838,SE
11519 Kings Canyon Rd SE,252900,87123,1730,3,2,247945,35.058872,-106.51857,SE
12504 Monarch Dr NE,169900,87123,1450,3,2,181746,35.080971,-106.508957,NE
